City,AvgStars,BusinessCnt,TotalReviewCnt
Wittmann,4.75,2,8
Ahwatukee,4.032608695652174,4,138
Phoenix,3.791298787661773,4154,97745
Anthem,3.8430079155672825,34,379
Stanfield,3.5,1,3
Saguaro Lake,3.0,1,5
Tortilla Flat,3.8333333333333335,3,51
Charleston,4.0,1,5
Goldfield,3.5,1,53
Laveen,3.2794117647058822,22,136
Apache Junction,3.8448275862068964,46,290
Rio Verde,3.642857142857143,2,14
North Scottsdale,4.0,1,54
Sun City West,3.609090909090909,8,55
Maricopa,3.462566844919786,31,187
Chandler,3.7584150543334216,865,15092
Wickenburg,3.8491620111731844,28,179
Fort McDowell,3.2981651376146788,7,109
Tucson,3.5,1,6
Yuma,3.5,1,8
Gila Bend,3.4838709677419355,10,93
Pheonix,3.0,1,14
Gilbert,3.828046085858586,439,6336
Tolleson,3.524193548387097,22,186
Higley,3.2419354838709675,6,31
Peoria,3.672740014015417,267,2854
Goodyear,3.6279257465698143,125,1239
Guadalupe,4.05,4,70
North Pinal,5.0,1,3
Avondale,3.7943892045454546,129,1408
Sun City,3.582089552238806,28,201
Sun City Anthem,3.5,1,3
Tonopah,3.5454545454545454,3,11
Buckeye,3.7351598173515983,31,219
Florence,4.021739130434782,10,69
Surprise,3.6007387508394895,161,1489
Mesa,3.785405355663937,898,10867
San Tan Valley,3.6333333333333333,6,45
Coolidge,3.45,5,30
Tonto Basin,4.0,1,3
Glendale,3.706581469648562,610,7825
Morristown,4.014285714285714,5,35
Carefree,3.8449477351916377,20,287
Grand Junction,4.0,1,5
Litchfield Park,3.7916666666666665,26,288
Scottsdale,3.7829412214032008,2026,52366
Casa Grande,3.501592356687898,48,314
Queen Creek,3.966896551724138,78,725
Youngtown,3.2037037037037037,7,27
Paradise Valley,3.924107142857143,57,1232
Waddell,4.5,1,29
Fountain Hills,3.8916849015317285,49,457
Good Year,3.5,1,16
Gold Canyon,3.3674698795180724,13,83
Glendale Az,3.5,1,14
Tempe,3.748918277618815,1153,28658
Cave Creek,3.9384057971014492,65,828
El Mirage,3.4224137931034484,11,58
Sun Lakes,3.65,4,30
