RecommendationId,Stars
1,3.5
2,3.76672
3,4
4,3.88961
5,3.41763
6,3.76672
7,3.35642
8,4.5
9,3.28401
10,3.57
11,3.76672
12,3.5
13,3.87
14,3.71999
15,3.7
16,4.05549
17,3.76672
18,4.06
19,3.92
20,3.5
21,3.76672
22,3.76672
23,3.75
24,3.04
25,3.01
26,4.22604
27,3.5
28,3.66
29,3.42
30,3.76672
31,4.88
32,4
33,3.79
34,4
35,4.5
36,5
37,2.43
38,4
39,3.74
40,5
41,2.5
42,3.39813
43,3.76672
44,3.76672
45,4.67086
46,3.25
47,5
48,4
49,3.75024
50,4
51,4.27726
52,3.85
53,4.58891
54,4.1
55,4
56,2.2
57,3.49
58,5
59,3.37181
60,4
61,3.4
62,3.76672
63,3.69231
64,4
65,3.77698
66,3.8941
67,2.44173
68,3.80619
69,4.5
70,4
71,4.72
72,3.83748
73,3.96573
74,4.06402
75,4.32239
76,4.5
77,4.5
78,3.76672
79,4.5
80,4.01272
81,4.19725
82,3.5
83,4.66839
84,3.58891
85,3.5
86,4.18323
87,3.81475
88,3
89,3.76672
90,3.29
91,3.44
92,4.31477
93,2.54166
94,3.41
95,3.34875
96,3.76672
97,3.84
98,3.92224
99,3.97227
100,4.2
101,4.69592
102,3.52571
103,2
104,3.49792
105,4
106,3.80236
107,3.5
108,3.73
109,4.82377
110,3.76672
111,3.31163
112,3.76672
113,2.87
114,3.5
115,3.83674
116,4
117,4.24914
118,3.63201
119,3.96602
120,3.99
121,2.78546
122,4
123,4.03895
124,4.5
125,4.56
126,3.95
127,4.5
128,5
129,4.5
130,3.67
131,3.8695
132,3.76672
133,4.25
134,4.13
135,3.5
136,4
137,3.67747
138,3.69
139,3.58
140,3.85
141,3.54
142,3.76672
143,3.55
144,4.39
145,3.76672
146,3.76672
147,3.63645
148,4
149,3.61
150,3.5
151,4
152,3.72589
153,5
154,3
155,3.45
156,3.67
157,3.58
158,3.55577
159,3.43
160,3.5
161,3.95
162,3.51
163,4.39646
164,4.76561
165,3.89639
166,3.0926
167,3.5
168,3.87115
169,4
170,3.6129
171,4.08664
172,4.1
173,5
174,3.98822
175,3.5607
176,5
177,3.98349
178,3.79861
179,4
180,4
181,4.63307
182,3.92779
183,4.5
184,4
185,3.76672
186,3.14
187,4.5
188,3.76672
189,4
190,3
191,3.5
192,3.78
193,4
194,3.5
195,4
196,2.57
197,4.11
198,3.4
199,3.01227
200,3.76672
201,3.7
202,4
203,3.59
204,3.86057
205,3.30788
206,2.97962
207,3.76672
208,3.5
209,3.54096
210,3.76672
211,3.03822
212,2.99505
213,3.26
214,3.97
215,4.04
216,4.33
217,3.76672
218,4.5
219,3.76672
220,3.62
221,3
222,3.95
223,3.67
224,3.69
225,4.17595
226,3
227,2.92224
228,4
229,3.79
230,3.59513
231,3.83
232,2.5
233,4.5
234,3.5
235,4
236,3.76698
237,4.2843
238,3.72637
239,3.76672
240,3
241,3.96
242,3.5
243,3.65
244,4.17304
245,3.6
246,3.02818
247,2
248,3.76672
249,4.43108
250,2.5
251,4.2
252,3.76672
253,4.18626
254,3.51
255,3.66025
256,3.7
257,3.18763
258,3.76672
259,4.45918
260,4.37551
261,3.76672
262,4
263,4.20567
264,3.20277
265,3.76672
266,4.36246
267,4
268,4.1
269,3.5
270,3.5
271,3.33184
272,3.71
273,2.67
274,3.73
275,4.11925
276,3.69
277,2.9693
278,3.79285
279,3.5
280,4.29
281,4.04113
282,4
283,3.87
284,4.7
285,3.58927
286,3.76672
287,3.8828
288,3.82569
289,4.5
290,4
291,3.5
292,4.11
293,4.6864
294,4
295,3.76672
296,4
297,2.5
298,3.63
299,3.46
300,3.73
301,4.24819
302,3.5
303,4.83673
304,4.14
305,4.10635
306,4.16
307,3.65594
308,4.75677
309,3.76672
310,4.03897
311,4.73
312,3.85
313,3.76672
314,4
315,4.08
316,5
317,4.58891
318,4.27212
319,3
320,3.14
321,4
322,4.15
323,4.6
324,3.2435
325,4.21668
326,3
327,3.76672
328,3.58891
329,3.78
330,3.5
331,3.47
332,3.5
333,4.57
334,3.76672
335,4.02632
336,3.14655
337,3.86
338,3.23
339,3.35171
340,4.08
341,3
342,3.49
343,4
344,4.58658
345,4.2
346,1.71
347,4
348,4
349,4
350,3.22463
351,4.16
352,3.76672
353,3.70053
354,4.58891
355,3
356,4.5
357,3.12
358,3.75
359,2.5
360,3.98554
361,3.76672
362,3.29
363,4.02641
364,4.58891
365,3.02124
366,3.76672
367,3.73
368,3.76672
369,3.08842
370,3.53
371,3.73299
372,3.84394
373,4.31
374,3.68
375,3.76672
376,3.36783
377,4.29665
378,3.62
379,3.85177
380,4
381,2.34103
382,4.20973
383,5
384,4.07625
385,3.26
386,4
387,3.52323
388,3.5
389,3.14655
390,3.76672
391,3.53235
392,4.41385
393,3.58891
394,2.33
395,3.83085
396,4.61699
397,4.74608
398,4
399,2
400,2.5
401,3.83728
402,4
403,3.5
404,3.76672
405,4.6
406,3.1526
407,4.29701
408,4
409,4
410,3.5
411,3.6
412,3.51948
413,2.42
414,4
415,3.12008
416,3.5
417,4.06407
418,4.29961
419,4
420,3.80377
421,3.94479
422,4
423,4
424,3.52482
425,4.15
426,3.76672
427,3.25557
428,3.74
429,3.91295
430,4.28299
431,3.76672
432,4
433,3.33
434,3.3
435,3.41
436,4.29908
437,3
438,3.36112
439,3.38
440,3.76672
441,3.71439
442,4.5
443,4.12
444,4.14
445,3.62124
446,3.76672
447,3.5
448,4
449,3.07477
450,3.76672
451,3.76672
452,3.84754
453,4.48929
454,4.65
455,4.5
456,3.5
457,3.76672
458,3.57937
459,3.29686
460,3.12499
461,3.94
462,3.5
463,4.08
464,3.32
465,3.75928
466,3.68753
467,3.63053
468,3.70951
469,3.36
470,3.68
471,3.63
472,3.53
473,3.8924
474,4.5
475,3.66532
476,3.36357
477,4.28001
478,3
479,3.54764
480,3.63
481,3.74
482,3.1375
483,3.76672
484,3.59
485,4
486,4.05196
487,4.4
488,3.03089
489,3.67
490,3.69
491,4.00211
492,4.75
493,4
494,4.0745
495,4.3
496,3.96
497,3.82308
498,4.37347
499,2
500,4.3054
501,3.91091
502,3.5
503,3.52494
504,3.5
505,3.76672
506,3.45
507,3.76672
508,3.76672
509,3.0521
510,3.82061
511,4.5
512,2.54704
513,2.96282
514,3.76672
515,3.5
516,3.97
517,4
518,3.76672
519,3.72328
520,3.76672
521,3.90694
522,3.84
523,3.92224
524,3.77
525,3.25
526,5
527,3.21832
528,3.5
529,4.5
530,3.32631
531,4.37565
532,4.5
533,3.5
534,5
535,3.91
536,4.12468
537,4.39887
538,3.76672
539,3.15478
540,4.11531
541,3.56
542,4.09269
543,3.76672
544,3.84315
545,4.46472
546,4.69922
547,3.73
548,3.59087
549,3.76672
550,3.5
551,4
552,4.09032
553,4.58
554,4.5
555,4.03
556,5
557,4.44
558,3.5
559,3.19892
560,3.8
561,3.99993
562,4.7866
563,3.58
564,3.48
565,4.5
566,4.5
567,3.61952
568,3.77
569,3.5
570,3.43441
571,4.13847
572,3.70593
573,2.90901
574,3.60714
575,3.73
576,3.66776
577,4.15955
578,3.39
579,4.31
580,3.31145
581,3.74645
582,4.35
583,4.08
584,2.5
585,3.75
586,3.98227
587,3.76672
588,3.51111
589,2.5
590,3.7257
591,4.5
592,4.5
593,4.5
594,4
595,4.37
596,4.23698
597,3.38
598,3.76672
599,3.69
600,3.18217
601,3.94
602,3.15
603,3.78
604,3.5
605,2.5
606,3.76672
607,3.58383
608,3.76672
609,4.02
610,3.31718
611,3.87
612,3.79
613,4
614,3.65
615,4.5
616,4.25
617,3.64124
618,4.28415
619,3.56274
620,3
621,4
622,3.2
623,4.12236
624,4.02407
625,4.5
626,3.5
627,4.16
628,3.8
629,4.25193
630,3.76
631,3.38457
632,4
633,5
634,3.89007
635,3.76672
636,3.6
637,3.6
638,3.47
639,4.08
640,4.68965
641,3.76672
642,3.82
643,4
644,3.76672
645,2.66142
646,4.31412
647,3.49
648,4
649,3.85029
650,3.76672
651,3.2
652,4.11
653,3.95
654,3.44
655,4
656,4.27185
657,4
658,5
659,3.56995
660,3.5
661,3.76672
662,3.88285
663,4.08
664,3.97227
665,4.27478
666,3.50578
667,3.76672
668,2.5
669,4.64
670,4.38612
671,2.92224
672,2.5
673,3.84
674,3.44262
675,4.64293
676,4.4
677,3.55
678,4.49696
679,3.76672
680,3.72
681,3.79
682,3.72
683,4.5
684,4
685,3.86
686,3.82
687,3.76672
688,3.86
689,3.76672
690,3.59028
691,4.2
692,3.76672
693,3.83
694,3.5
695,2.5
696,3.86
697,3.5
698,3.5
699,3.86
700,3.37
701,3.92
702,4.5
703,4.58891
704,3.76672
705,5
706,4
707,3
708,4
709,3.52
710,4.49916
711,3.86368
712,5
713,5
714,3.86
715,3.98
716,2.46042
717,4
718,4.29
719,3.76672
720,4.0418
721,4.31
722,4.5
723,3.43
724,4
725,4
726,3.15802
727,3.28
728,3.65399
729,3.5
730,3.76672
731,3.5
732,3.28
733,4
734,3.76672
735,3.95
736,3.5
737,4
738,3.07
739,3.42
740,4
741,4.37
742,3.81253
743,3.5
744,3.76672
745,4
746,3.68
747,3.47126
748,1.57
749,4.42428
750,4.09147
751,4.02848
752,3.84615
753,3.45698
754,4.23851
755,3.80057
756,4.29162
757,4
758,4.5
759,2.52776
760,4.48553
761,3.30796
762,3.59
763,3.76
764,3.98056
765,4.06799
766,3.97734
767,2.33333
768,3.66667
769,4.57
770,3.5
771,3.45
772,3.5
773,2.91
774,4
775,4
776,3
777,3.83
778,3.12
779,4
780,4
781,3
782,4.05
783,4.58891
784,3
785,3.76672
786,5
787,4.1346
788,3
789,4.62
790,4.24
791,3.76672
792,4
793,3.38106
794,4.26533
795,4.02219
796,4
797,3.9
798,3.5
799,3.74
800,4.42873
801,3.8019
802,3.74558
803,4.20473
804,3.71
805,3.52
806,3.76672
807,3.32761
808,4.00652
809,4.5
810,3.83311
811,3.82
812,3.76672
813,4.5
814,3.76672
815,2.5
816,4.79379
817,3.76086
818,4.14446
819,3.76672
820,4.5
821,2.82496
822,4.5
823,4.22
824,3.5
825,3.61765
826,2.90188
827,4
828,3.5
829,3.79
830,3.95617
831,4.0863
832,4.37214
833,3.5
834,3.5
835,4.5
836,4.19
837,3.75
838,4.28302
839,3.52
840,4.40726
841,4.18
842,4.2
843,4
844,4.5
845,3.81
846,4
847,3.87008
848,3.97223
849,4
850,3.49392
851,4
852,3.75756
853,4.34481
854,3.73705
855,3.82308
856,4.45333
857,3.5
858,2.64638
859,3.52919
860,4.5
861,4.03
862,3.5
863,3.28
864,3.5
865,3.76672
866,3.44
867,3.89495
868,3.35592
869,3.76672
870,4.46753
871,3.76672
872,3.6
873,4.5
874,3.9
875,3.87
876,3.76672
877,5
878,3.43
879,4.02
880,4.3647
881,3
882,4.5
883,3.59
884,3.95258
885,3.72
886,3.50113
887,3.52036
888,3.61465
889,4
890,4.5
891,3.82706
892,4.25557
893,5
894,3.28479
895,3.76672
896,3.84
897,4.5
898,3.78
899,4
900,4
901,3.76672
902,3.22
903,3.5
904,4.08801
905,3.76672
906,4.50793
907,3.17
908,3.5
909,3.76672
910,3.72
911,3
912,3.53
913,3.25
914,4.08
915,3.88
916,3.73645
917,3.28
918,3.95874
919,3.79912
920,4.67
921,3.5
922,4.5
923,4
924,3.89
925,3
926,5
927,3.67
928,4.5
929,3.66667
930,3.65301
931,4.12217
932,3.24414
933,4.5
934,3.74
935,4.01671
936,4.07514
937,3.52114
938,3.69
939,4
940,2.86913
941,4.25972
942,1.5
943,3.76672
944,3.76672
945,3.92308
946,3.72414
947,3.56796
948,4
949,3.05
950,3.66304
951,3.76672
952,3.64
953,5
954,3.14
955,3.67
956,4.03
957,4.44443
958,3.26
959,3.76672
960,4.29
961,3.27725
962,3.99
963,3.76672
964,4.24617
965,3.76672
966,3.69442
967,4.19719
968,3.76672
969,3.58
970,4.14395
971,3.61
972,3.75629
973,4.29918
974,4.09091
975,3.67785
976,3.23828
977,3.67
978,4.5
979,3.76672
980,3.00896
981,4.75
982,4.03573
983,3.81884
984,3.76672
985,4
986,4.65219
987,3.76672
988,4.5
989,3.47227
990,3.35
991,3.76672
992,3.63521
993,3.71
994,3.76672
995,3.5
996,3.5
997,3.55
998,3.34032
999,3.75
1000,3
1001,3.86
1002,4.08519
1003,3.33
1004,4
1005,3.16
1006,4.02
1007,3.87219
1008,4.27737
1009,3.5
1010,3.67
1011,4
1012,3
1013,4.67
1014,3.75
1015,3.67332
1016,3.97
1017,2.68
1018,3.75
1019,4.5
1020,5
