Category,AvgTF,IDF,AvgTF*IDF,BusinessCnt,MRSE
Fish & Chips,0.39880952380952384,6.714257211312031,2.6777097211780125,14,1.390938799445056
Fondue,0.4375,7.967020179807399,3.485571328665737,4,1.1704609948314273
Body Shops,0.4197530864197531,6.057477674922961,2.542644949967663,27,1.2404698432846994
Acupuncture,0.337037037037037,7.156089963591071,2.4118673580992125,9,1.002766257013561
French,0.324084249084249,6.095218002905808,1.9753641494765246,26,1.163451470018432
Baby Gear & Furniture,0.2994047619047619,6.0211100307520855,1.8027490151597017,28,1.3058101577021566
Vegetarian,0.26904761904761904,5.797966479437876,1.5599290766106666,35,1.0308685696961017
Furniture Reupholstery,0.28095238095238095,8.25470225225918,2.3191782518251984,3,1.1079259903080168
Public Services & Government,0.5321596244131456,5.090634663885974,2.7090302307580996,71,1.2905230624855661
Discount Store,0.4,6.714257211312031,2.6857028845248125,14,1.4729226503068142
Middle Schools & High Schools,0.3333333333333333,7.156089963591071,2.3853633211970235,9,1.590789817951435
Adult Entertainment,0.4666666666666666,7.743876628493189,3.613809093296821,5,1.4037849710329424
Delis,0.32054794520547963,4.369707919218953,1.4007008946537476,146,1.1722228849468488
Sandwiches,0.36316172193135515,3.4078939323207145,1.2376166286210077,382,1.1188202369827722
Marketing,0.4444444444444444,8.25470225225918,3.668756556559636,3,0.25753937681885636
Hot Dogs,0.37089947089947084,5.210179814535757,1.9324529365024155,63,1.1211927083378734
Irish,0.21172161172161172,6.788365183465753,1.4372436175982435,13,1.084152040799549
Filipino,0.36388888888888893,6.868407891139289,2.4993373159423524,12,1.068810127423498
Elementary Schools,0.29888888888888887,6.645264339825079,1.9861956749032736,15,1.5781527295340743
Parking,0.39,7.743876628493189,3.020111885112344,5,1.3662021813378076
Gastropubs,0.35555555555555557,7.156089963591071,2.5443875426101585,9,1.0232757513380255
Desserts,0.3287499999999998,4.9712879062534086,1.634310899180807,80,1.1805293699448598
Optometrists,0.33434343434343433,5.856806979460809,1.958184959799523,33,1.3084525770125002
Art Schools,0.20857142857142857,7.743876628493189,1.6151514110857224,5,1.3490518433731786
Motorcycle Repair,0.4444444444444444,8.25470225225918,3.668756556559636,3,1.7303418275695372
Hardware Stores,0.2925595238095238,5.32796285019214,1.558746274327046,56,1.280755217777252
