BusinessId,Longitude,Latitute,Stars,ReviewCnt,City,State
Qif8U7-p8PVK5kDtvR62uQ,-111.9149875,33.8232982,4.0,4,Scottsdale,AZ
jQST5lkLGX9L52-A10TGTQ,-111.689758300781,33.3779891872164,4.0,66,Mesa,AZ
74hGYtpaERi2FYKo5bP99Q,-111.937591,33.3928751,3.0,10,Tempe,AZ
2voFtcyopB3jJHepouMWDQ,-112.1299404,33.8005397,4.5,18,Phoenix,AZ
tE3uoIhFGAc6-ZYM7lpjWQ,-112.0658841,33.4657309,2.5,17,Phoenix,AZ
K869zHqORZUhpbDOxsspuw,-112.0684149,33.638291,3.0,5,Phoenix,AZ
oOehX_l0odQc-tu81VUkIg,-111.9050726,33.5437037,4.0,34,Scottsdale,AZ
FPboZrUMSNYE4Yy_0fX-Ug,-111.924088,33.424281,4.0,28,Tempe,AZ
jVp2NDys7GX81jLFn8kGhQ,-112.3489606,33.6372835,3.0,12,Surprise,AZ
oCA2OZcd_Jo_ggVmUx3WVw,-112.07211772211,33.444801984944,3.5,207,Phoenix,AZ
Qa6Gmw6OcNKrqVDh80I_9w,-111.940346,33.425938,2.5,15,Tempe,AZ
PgcuQvFl76bx42xIFyhzVg,-111.915851,33.697603,3.5,31,Scottsdale,AZ
72Hr_FKSpbVQl8oPEabaRQ,-111.772012,33.31081,4.0,4,Gilbert,AZ
JrIhyj-e3n77LeIOeErBJA,-112.0128616,33.4769252,4.5,3,Phoenix,AZ
iqVDfE7XknJ6kDIoepT_xQ,-111.8885166,33.5830485,3.5,8,Scottsdale,AZ
4y9s1y8WxumJB9ypewvXCA,-111.9954348,33.4951237,3.5,12,Phoenix,AZ
erBoatMp1TFi_NPxTigp6w,-111.9276185,33.5019817,2.5,58,Scottsdale,AZ
4BcuZj2ETMxUs48PLPwKxQ,-111.983452,33.480601,1.0,4,Phoenix,AZ
RcufSDfRpeaxLm875axrDQ,-112.166939,33.494559,3.0,3,Phoenix,AZ
RQaQiRanZocObTLUujQ9bw,-111.7990941,33.4154737,4.0,7,Mesa,AZ
wEsor9I2DcyYoR3brlqIMw,-112.12371,33.666682,3.0,5,Phoenix,AZ
-gefwOTDqW9HWGDvWBPSMQ,-112.0743441,33.4504575,3.5,127,Phoenix,AZ
qgqTBJwxwOlI2V7FUjq_Yw,-111.9445728,33.3350531,3.0,3,Tempe,AZ
tEvGNTPLV01OiUt_SKn2Ww,-112.097743,33.640581,4.0,4,Phoenix,AZ
FaFR-cMtfRgKk7NCRcZmYQ,-111.892104556574,33.6291077242617,3.5,3,Scottsdale,AZ
rHFWPJML2WlGbad0Tqevxw,-111.859257,33.37829,3.0,36,Mesa,AZ
NzbCi3p0HqU2SX__853VwA,-111.9296765,33.5025941,4.0,26,Scottsdale,AZ
nRzZac3LVgANpKPkDs4LSQ,-112.0732351,33.509301,4.0,12,Phoenix,AZ
YowLDN2YEKVJpHv0Loqm5A,-112.0178286,33.4382789,2.5,18,Phoenix,AZ
SvZXOhA_hIuQgR34VfVqnQ,-112.192542,33.5383476,4.0,32,Glendale,AZ
wK2RM163ByHaGixGn_UzuA,-112.222145,33.594892,2.5,6,Peoria,AZ
NVqLUZ7Vb9B_0RJm_BS64g,-112.030849,33.487276,3.5,27,Phoenix,AZ
TgxDGx7L_JICWbuBUCGVqw,-112.1164397,33.5763551,3.5,55,Phoenix,AZ
LeIFvm7ZdNxf01OvU0QFbg,-111.8332,33.3181,3.5,33,Chandler,AZ
podj1OWSL3oEJsOpGj8SUw,-112.0759353,33.4801532,4.0,96,Phoenix,AZ
lTk4l6YgxNXNaMCD9mcD6Q,-111.977874755859,33.3193778991699,4.5,3,Phoenix,AZ
Yiw1ml0XVBDIQBTLXHNGmQ,-111.8069973,33.3809022,2.5,31,Mesa,AZ
dZb_-YeZGUWlYNd-nOXRYg,-111.9091955,33.4857546,3.5,9,Scottsdale,AZ
udyeC0A16GWcSas7L5hwHg,-111.8402948,33.3939196,3.5,4,Mesa,AZ
bU1ShcSD6obWRDqyu-IG4w,-112.354406,33.6387136,2.5,17,Surprise,AZ
EeQlS9VLlfWT25-MeYsJTg,-112.18716137285,33.669346032902,4.0,15,Glendale,AZ
nVg5Ixh0hLtPcc5prc6tzQ,-111.8590315,33.3368975,2.0,3,Chandler,AZ
