BusinessId,Longitude,Latitute,Stars,ReviewCnt,City,State
5FzwrpRes4EdkVQrtg_qJQ,-112.073612,33.364569,2.5,3,Phoenix,AZ
m51fZnQueyj1q1Ra_yDQjQ,-111.925694,33.581421,3.5,8,Scottsdale,AZ
IwkqtlUI8DV48QxCz80WQw,-111.9802308,33.272043,3.5,72,Chandler,AZ
jsjip-f_chgWf9ZnbowKtg,-111.8473856,33.7336667,3.5,8,Scottsdale,AZ
xMK01ZbVUYLLoyqoeWAIVw,-111.8973083,33.3056888,4.0,78,Chandler,AZ
bc-lE-wGVAsUrX-kJhtY-Q,-111.919938,33.501821,4.0,183,Scottsdale,AZ
r6zT-YqmOtHg8BJT3LLzfg,-111.9683535,33.3213204,3.0,12,Chandler,AZ
iDoigI3605ixHl_qHly3Tg,-112.0342897,33.5088428,4.0,65,Phoenix,AZ
GeHwru6TVDyVErFc92Nn2w,-112.0737398,33.5612361,3.5,11,Phoenix,AZ
7U8TYNW4Mvx6m3zexsO0sg,-111.97493461419,33.446195133741,4.0,72,Phoenix,AZ
-3xbryp44xhpN4BohxXDdQ,-111.9746066,33.678615,3.5,65,Phoenix,AZ
sbjb1qNUcqQomJvcgPuJCg,-111.96828,33.546,4.0,76,Scottsdale,AZ
uflQ_lKBfS6WknNlm_HK8g,-112.1683457,33.4952704,3.5,6,Phoenix,AZ
4FS5otEktCyI1aDpg_h03g,-112.070093,33.4477082,3.5,84,Phoenix,AZ
fMcI0fOLmUwSvgVCmGA9Rg,-111.9263131,33.4716326,4.0,78,Scottsdale,AZ
wqIB7hUTQnCswJV4UyYyEQ,-111.922456,33.636322,3.5,63,Scottsdale,AZ
0VyvlA1mZsDoYd3kkRjevA,-111.679089,33.385783,3.0,13,Mesa,AZ
nglQaQXuU-d38fGe_tM5-Q,-111.8856396,33.4543305,5.0,8,Scottsdale,AZ
BbsiNNh2FNbU2fHIgAOk2A,-112.611236572266,33.850458953138,2.5,3,Morristown,AZ
