Category,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Fondue,3.933846153846154,4,325,0.4585183237935403
Fish & Chips,3.289237668161435,14,223,0.6373789180839612
Acupuncture,4.671052631578948,9,38,0.6715684292197288
Body Shops,4.423357664233577,27,137,0.6885150395362013
French,3.9369047619047617,26,1680,0.33256927738899533
Baby Gear & Furniture,3.6772151898734178,28,158,0.7755682876982476
Vegetarian,3.9772087788407426,35,3554,0.3298393698033708
Public Services & Government,3.7067238912732474,71,699,0.8150747069080381
Furniture Reupholstery,4.380952380952381,3,21,0.21295885499997996
Discount Store,3.6420454545454546,14,88,0.8592705139335939
Middle Schools & High Schools,3.6527777777777777,9,36,0.6326689985516875
Delis,3.7921522921522923,146,3861,0.5535204873607239
Adult Entertainment,2.914285714285714,5,35,0.4852939357560866
Sandwiches,3.9040856554072216,382,11161,0.4868187917322443
Hot Dogs,3.985496558505408,63,2034,0.5089282260499596
Marketing,4.892857142857143,3,14,0.20516295166207243
Filipino,3.792079207920792,12,303,0.3513340445897913
Irish,3.705966930265996,13,1391,0.2763639783166281
Elementary Schools,4.055555555555555,15,54,0.7617394000445604
Parking,3.84,5,75,0.7172168430816444
Gastropubs,4.311920529801324,9,755,0.3916220559979866
Desserts,3.9310675883256527,80,2604,0.5530173593413623
Optometrists,4.2620481927710845,33,166,0.8602707041533176
Art Schools,3.8114754098360657,5,61,0.9284392616160079
Motorcycle Repair,2.8461538461538463,3,13,0.41065685584735817
Orthodontists,4.051282051282051,19,78,1.2262872451536635
Hardware Stores,3.8295774647887324,56,355,0.5944329446534297
Solar Installation,4.708333333333333,3,24,0.2465033242958173
Soup,3.6840354767184036,10,451,0.296786392580969
Weight Loss Centers,4.214285714285714,9,35,0.7491491772643939
Skin Care,4.227598566308243,77,558,0.6912082067565101
Cocktail Bars,4.5,1,4,0.0
Cheesesteaks,3.7415584415584417,8,385,0.4530848518194143
Tires,3.666913946587537,113,674,0.9736682916423368
Swimwear,4.2,2,10,0.24494897427831783
Asian Fusion,3.71425249941874,76,4301,0.3909331391910224
Florists,3.907749077490775,40,271,0.7407329743246999
Flowers & Gifts,4.043610547667343,72,493,0.7189303148546049
Wedding Planning,4.0272277227722775,11,202,0.422745900816543
Vegan,4.141706443914081,20,1676,0.3897514044382375
Archery,4.25,2,8,0.25
Gas & Service Stations,3.4437751004016066,55,249,1.0465334848739143
Performing Arts,4.143530997304582,54,742,0.5210707780884584
Eyewear & Opticians,3.968944099378882,35,161,0.9631235432736756
Dance Studios,4.641891891891892,14,74,0.5606479737542972
Massage Therapy,4.532258064516129,10,62,0.5526400548068326
Dim Sum,3.7030812324929974,4,357,0.4234929141121996
Tanning,4.0710227272727275,33,176,0.8439699743861088
Comic Books,3.9611111111111112,11,90,0.6065740670070162
Uniforms,3.5,1,3,0.0
Hiking,4.493670886075949,20,474,0.27931883940560503
Hats,3.5,1,3,0.0
Musical Instruments & Teachers,4.039792387543253,22,289,0.552729582616259
Formal Wear,3.0,1,5,0.0
Do-It-Yourself Food,3.845360824742268,9,97,0.45612003722946265
Soccer,4.5,1,3,0.0
Advertising,5.0,1,5,0.0
Auto Glass Services,3.728476821192053,33,151,1.2162463960153627
Smog Check Stations,3.03125,4,16,0.8190839013800723
Diners,3.6217827997489014,61,1593,0.40506378629287715
Neurologist,4.0,1,5,0.0
Beauty & Spas,4.001145778247841,764,5673,0.758492961595989
Post Offices,3.1216216216216215,20,111,0.9256510156510113
Fast Food,3.4142241379310345,386,3480,0.7465718404685369
Parks,4.256675567423231,82,1498,0.517747924607228
Thai,3.825570342205323,79,4208,0.3111782432053526
Mass Media,3.6184210526315788,21,114,0.9626868275705446
