City,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Wittmann,4.625,2,8,0.4841229182759271
Ahwatukee,3.970149253731343,4,134,1.0217069307537205
Phoenix,3.786225393242138,4154,96569,1.1986594364001015
Anthem,3.849462365591398,34,372,1.2546364470136548
Stanfield,3.6666666666666665,1,3,0.9428090415820634
Saguaro Lake,3.0,1,5,0.8944271909999159
Tortilla Flat,3.8297872340425534,3,47,1.0782008050485046
Charleston,3.8,1,5,1.4696938456699071
Goldfield,3.660377358490566,1,53,1.0979121906397096
Laveen,3.291044776119403,22,134,1.5299235512344944
Apache Junction,3.814946619217082,46,281,1.3344294156971728
Rio Verde,3.642857142857143,2,14,0.8949974347244049
North Scottsdale,3.9814814814814814,1,54,1.045107485890553
Sun City West,3.6481481481481484,8,54,1.2642873473109841
Maricopa,3.442622950819672,31,183,1.412565663609582
Chandler,3.7495973154362416,865,14900,1.219933642817912
Wickenburg,3.787709497206704,28,179,1.2280087003446232
Fort McDowell,3.3425925925925926,7,108,1.33445811610887
Tucson,3.6666666666666665,1,6,1.1055415967851334
Yuma,3.625,1,8,0.9921567416492215
Gila Bend,3.477777777777778,10,90,1.1946898972609106
Pheonix,3.0714285714285716,1,14,1.0326308782000686
Gilbert,3.824057738572574,439,6235,1.2355332111409723
Tolleson,3.4945054945054945,22,182,1.3897080598917355
Higley,3.2666666666666666,6,30,1.4360439485692011
Peoria,3.663811563169165,267,2802,1.2856355813939249
Goodyear,3.615194054500413,125,1211,1.3412962011015102
Guadalupe,3.8550724637681157,4,69,1.1328476664268294
North Pinal,5.0,1,3,0.0
Avondale,3.7619392185238785,129,1382,1.2393330692385378
Sun City,3.6363636363636362,28,198,1.340545233975434
Sun City Anthem,3.6666666666666665,1,3,1.8856180831641267
Tonopah,3.5454545454545454,3,11,1.2331509060227759
Buckeye,3.688073394495413,31,218,1.4664270233450871
Florence,3.985074626865672,10,67,0.9540571232535461
Surprise,3.5918788713007572,161,1453,1.3384524789179666
Mesa,3.771060733277358,898,10719,1.253567836269425
San Tan Valley,3.577777777777778,6,45,1.3079056861833036
Coolidge,3.5,5,30,1.3354150416006754
Tonto Basin,4.0,1,3,0.0
Glendale,3.675531914893617,610,7708,1.253821626627836
Morristown,4.029411764705882,5,34,0.954410631740468
Carefree,3.929328621908127,20,283,1.2306259323181301
Grand Junction,4.2,1,5,0.7483314773547882
Litchfield Park,3.75531914893617,26,282,1.2828893327126605
Scottsdale,3.7750770483223817,2026,51591,1.209211686676596
Casa Grande,3.5533980582524274,48,309,1.3775464000417823
Queen Creek,3.9454545454545453,78,715,1.2598549851463996
Youngtown,3.2222222222222223,7,27,1.594744454934147
Paradise Valley,3.936117936117936,57,1221,1.1761404972627847
Waddell,4.285714285714286,1,28,0.6468132241526724
Fountain Hills,3.894273127753304,49,454,1.222877654551081
Good Year,3.4375,1,16,1.27322179921646
Gold Canyon,3.45679012345679,13,81,1.3970814615736702
Glendale Az,3.7142857142857144,1,14,1.2777531299998797
Tempe,3.7235663398462298,1153,28354,1.2237699078346695
Cave Creek,3.883578431372549,65,816,1.2524192035798425
El Mirage,3.375,11,56,1.4706958994202126
Sun Lakes,3.8,4,30,1.2220201853215573
