City,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Wittmann,4.75,2,8,0.25
Ahwatukee,4.032608695652174,4,138,0.16158770377520115
Phoenix,3.791298787661773,4154,97745,0.5834245100901455
Anthem,3.8430079155672825,34,379,0.5273745670529468
Stanfield,3.5,1,3,0.0
Saguaro Lake,3.0,1,5,0.0
Tortilla Flat,3.8333333333333335,3,51,0.5393048054696105
Charleston,4.0,1,5,0.0
Goldfield,3.5,1,53,0.0
Laveen,3.2794117647058822,22,136,1.024990505483919
Apache Junction,3.8448275862068964,46,290,0.840806758272222
Rio Verde,3.642857142857143,2,14,0.47915742374995496
North Scottsdale,4.0,1,54,0.0
Sun City West,3.609090909090909,8,55,0.8457966072445824
Maricopa,3.462566844919786,31,187,0.7850132595850021
Chandler,3.7584150543334216,865,15092,0.5698715619717829
Wickenburg,3.8491620111731844,28,179,0.765628139903906
Fort McDowell,3.2981651376146788,7,109,0.7606107699551525
Tucson,3.5,1,6,0.0
Yuma,3.5,1,8,0.0
Gila Bend,3.4838709677419355,10,93,0.7238324410424799
Pheonix,3.0,1,14,0.0
Gilbert,3.828046085858586,439,6336,0.5962988500602395
Tolleson,3.524193548387097,22,186,0.8818392589741364
Higley,3.2419354838709675,6,31,1.135007231339302
Peoria,3.672740014015417,267,2854,0.6846600221000839
Goodyear,3.6279257465698143,125,1239,0.6764657771642874
Guadalupe,4.05,4,70,0.4238429628327656
North Pinal,5.0,1,3,0.0
Avondale,3.7943892045454546,129,1408,0.6520976177423715
Sun City,3.582089552238806,28,201,0.7067391392061637
Sun City Anthem,3.5,1,3,0.0
Tonopah,3.5454545454545454,3,11,0.9875254992000196
Buckeye,3.7351598173515983,31,219,0.8524455000894765
Florence,4.021739130434782,10,69,0.6451310540305792
Surprise,3.6007387508394895,161,1489,0.713201423794618
Mesa,3.785405355663937,898,10867,0.6622201303220863
San Tan Valley,3.6333333333333333,6,45,0.6782329983125268
Coolidge,3.45,5,30,0.65
Tonto Basin,4.0,1,3,0.0
Glendale,3.706581469648562,610,7825,0.641664275213091
Morristown,4.014285714285714,5,35,0.6266203485560374
Carefree,3.8449477351916377,20,287,0.6312152269817454
Grand Junction,4.0,1,5,0.0
Litchfield Park,3.7916666666666665,26,288,0.5432668671002207
Scottsdale,3.7829412214032008,2026,52366,0.5573093687014544
Casa Grande,3.501592356687898,48,314,0.6550859422920886
Queen Creek,3.966896551724138,78,725,0.7024150627178611
Youngtown,3.2037037037037037,7,27,1.0115926136109379
Paradise Valley,3.924107142857143,57,1232,0.45864178529840355
Waddell,4.5,1,29,0.0
Fountain Hills,3.8916849015317285,49,457,0.6377758168954631
Good Year,3.5,1,16,0.0
Gold Canyon,3.3674698795180724,13,83,0.6404268971073434
Glendale Az,3.5,1,14,0.0
Tempe,3.748918277618815,1153,28658,0.6191398862204962
Cave Creek,3.9384057971014492,65,828,0.6017874900284979
El Mirage,3.4224137931034484,11,58,0.9684760697822041
Sun Lakes,3.65,4,30,0.7088723439378913
