City,Street,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Phoenix,BaselineRd,3.543388429752066,49,484,1.261385211097395
Tolleson,BuckeyeRoad,4.8,1,5,0.39999999999999997
Phoenix,LincolnSt,2.764705882352941,1,17,0.8065476000471816
Scottsdale,HaydenRoad,3.7615384615384615,12,130,1.207692307692308
Chandler,AlmaSchoolRdSte3,3.0,2,11,1.5954480704349312
Phoenix,WatkinsSt,4.0,2,11,1.2060453783110545
Scottsdale,OsbornRd,4.21875,9,128,1.0964252995530521
Queen,Creek,4.4,1,5,0.8
Wickenburg,TegnerSt,3.52,3,25,1.2687001221722967
Gilbert,BurkSt,2.6666666666666665,1,3,1.247219128924647
Mesa,SossamanRd,3.736842105263158,1,38,1.1626695807565532
Scottsdale,AcomaDr,3.625,2,8,1.79843682124227
Gilbert,WarnerRd,3.622950819672131,22,244,1.253374911872915
Phoenix,RayRoad,3.669642857142857,8,112,1.3455508222680124
Scottsdale,KierlandBlvd,4.153623188405797,11,345,1.0113242445320092
Phoenix,CactusRd.,4.555555555555555,2,9,0.49690399499995325
Phoenix,MarriottDr,3.888135593220339,8,295,1.1950582917153143
Scottsdale,ViaDeVenturaDrive,2.6666666666666665,1,3,1.699673171197595
Phoenix,87AvenuePeoria,3.75,1,4,1.0897247358851685
Scottsdale,BellRdOfc,3.5,1,4,1.5
Scottsdale,PinnaclePeakRd,4.093833780160858,17,373,1.0582445600041939
Phoenix,HolmesBlvd,3.6666666666666665,1,3,1.8856180831641267
Mesa,DodsonRd,3.0,1,6,1.5275252316519468
Phoenix,GarfieldSt,4.488095238095238,1,84,0.7479185023569079
Glendale,ZanjeroBlvd,3.8181818181818183,1,11,1.1134044285378084
Phoenix,ThunderbirdTrl,3.1538461538461537,1,13,1.2917581249035897
Scottsdale,CamelbackRoad,,2.875,1,8,1.2686114456365274
Scottsdale,GreenwayParkway,3.9285714285714284,3,98,1.0903098230338388
Peoria,ArrowheadFountainCenterDr,3.5384615384615383,2,39,1.128787728361802
Tempe,ElliotRd,3.726461843409316,45,1009,1.2372254953899744
Pheonix,TatumBlvd,Bldg34-1140,3.0714285714285716,1,14,1.0326308782000686
Scottsdale,ChaparralRd,3.3333333333333335,8,45,1.382429423555181
Scottsdale,BellSt107,3.6666666666666665,1,3,1.8856180831641267
Scottsdale,ChaparralRoad,2.4285714285714284,1,7,1.761261143705422
Scottsdale,ParadiseLn,3.4615384615384617,1,13,1.0088366960464616
Gilbert,WilliamsFieldRd.,4.722222222222222,2,18,0.44790320823880836
Mesa,TestDr,3.4166666666666665,3,12,1.6562172428626494
Chandler,56thSt,3.75,2,8,1.6393596310755
Coolidge,CoolidgeAvenue,2.0,1,3,1.4142135623730951
Mesa,GreenfieldRd#114,1.0,1,6,0.0
Chandler,RayRoad,Suite42,1.25,1,4,0.4330127018922193
Scottsdale,83rdWay,5.0,1,3,0.0
Tempe,8thSt,4.3105335157318745,1,731,0.7937072031862193
Chandler,DelawareSt,3.9444444444444446,2,18,1.2680791345014808
Carefree,EasySt,3.142857142857143,1,7,1.2453996981544782
Phoenix,GreenwayRd,3.7457142857142856,38,350,1.2810359328389205
Phoenix,ArizonaGrandPkwy,2.8879310344827585,3,116,1.1727623721157898
Phoenix,28thDr,3.7857142857142856,9,112,1.1293848786315646
Peoria,ernAve,4.5,1,8,0.5
Chandler,HillcrestDr,4.75,1,8,0.4330127018922193
Scottsdale,71stSt,4.0,3,11,1.651445647689541
Mesa,OllaAve,5.0,1,4,0.0
Chandler,HighlandSt,4.333333333333333,1,3,0.9428090415820634
Tempe,MitchellDr,3.7,1,10,0.45825756949558405
Scottsdale,5thAve,4.167483660130719,37,1224,1.0403092526918523
Phoenix,ChandlerBoulevard,3.5,3,10,1.746424919657298
Phoenix,MortenAve,3.75,1,4,1.6393596310755
Tempe,VaughnSt,4.6,1,5,0.7999999999999999
Mesa,MainStreet,3.6129032258064515,12,62,1.2744997590411877
Queen,Creek,5.0,1,3,0.0
