City,Street,AvgStars,BusinessCnt,TotalReviewCnt,MRSE
Phoenix,BaselineRd,3.5468431771894093,49,491,0.6872753947860323
Tolleson,BuckeyeRoad,5.0,1,5,0.0
Phoenix,LincolnSt,3.0,1,17,0.0
Scottsdale,HaydenRoad,3.7007575757575757,12,132,0.5217244442959724
Chandler,AlmaSchoolRdSte3,2.9545454545454546,2,11,0.4979295977319692
Phoenix,WatkinsSt,4.136363636363637,2,11,0.22268088570756164
Scottsdale,OsbornRd,4.240458015267175,9,131,0.42060999431926444
Queen Creek,EllsworthLoopRoad,4.5,1,5,0.0
Wickenburg,TegnerSt,3.54,3,25,0.46733285782191686
Gilbert,BurkSt,2.5,1,3,0.0
Mesa,SossamanRd,4.0,1,39,0.0
Scottsdale,AcomaDr,3.6875,2,8,0.24206145913796356
Gilbert,WarnerRd,3.6485943775100402,22,249,0.44587357525306415
Phoenix,RayRoad,3.611607142857143,8,112,0.6604578411594335
Scottsdale,KierlandBlvd,4.100282485875706,11,354,0.2586905954157056
Phoenix,CactusRd.,4.25,2,10,0.25
Phoenix,MarriottDr,3.867003367003367,8,297,0.3505485503948768
Scottsdale,ViaDeVenturaDrive,2.5,1,3,0.0
Phoenix,87AvenuePeoria,4.0,1,4,0.0
Scottsdale,BellRdOfc,3.5,1,4,0.0
Scottsdale,PinnaclePeakRd,4.034666666666666,17,375,0.6593923128322186
Phoenix,HolmesBlvd,3.5,1,3,0.0
Mesa,DodsonRd,3.0,1,7,0.0
Phoenix,GarfieldSt,4.5,1,84,0.0
Glendale,ZanjeroBlvd,4.0,1,11,0.0
Phoenix,ThunderbirdTrl,3.0,1,13,0.0
Scottsdale,CamelbackRoad,,3.0,1,8,0.0
Scottsdale,GreenwayParkway,3.9693877551020407,3,98,0.2749427262307649
Peoria,ArrowheadFountainCenterDr,3.5,2,39,0.0
Tempe,ElliotRd,3.703216374269006,45,1026,0.5687435160951766
Pheonix,TatumBlvd,Bldg34-1140,3.0,1,14,0.0
Scottsdale,ChaparralRd,3.489130434782609,8,46,0.515932360274166
Scottsdale,BellSt107,3.5,1,3,0.0
