BusinessId,AvgFromJason,AvgFromReviews,AvgPredictedByCategories,ReviewCnt
Ec16pSB80VFjjO-8cueB0A,4,4,3.766723,4
KDfmJTIG-z6W6cl4YC-WDA,3.5,3.5151515152,3.7358959793,34
qi2TAj80BbZPTfgPkjM49A,4,4,3.766723,4
Njz9vm06pBZhTinpJ7llDg,3.5,3.3333333333,3.766723,3
uJ2DfS-7EabzFDRaliACqQ,5,5,4.0504307482,3
gFKvW1QhR7VQOYuOAfJZ3A,4.5,4.25,3.766723,4
JxVGJ9Nly2FFIs_WpJvkug,4,3.7777777778,3.769955055,55
gZ3GVh4aER2q6_UdA6fTKw,4.5,4.5,3.9685378233,14
CsA28RbQ_z_aZmRr8VL5kg,4.5,4.3333333333,3.766723,3
cD505Hke2u5aZbPbcyn8lQ,5,5,3.766723,3
Rq-rzr3-e4xR_-QTmzY0Vg,3.5,2.6666666667,3.9685378233,5
CXi1eCpVyCEu-rQ7p1fTsA,2,1.8333333333,3.766723,12
VsO_rhXi5lgbaGxNwoEZsQ,3,3.0549450549,3.722898352,91
XmDiFI8SuougNUi02ZCdwA,3,3.1935483871,3.7001647148,31
pjGUK8rHXq8P4ubUoNNc5A,5,5,3.766723,6
DtLIpieZkaObk-YKyPDsMw,3,2.75,3.6563817044,4
eGoXBEU339Xg-vz0MUq86A,4.5,4.6,3.766723,5
ojvwSyvmxsli8toz497T7w,2.5,2.3333333333,3.766723,3
H-zvHYZbRVHJ3sNqvqeReQ,4.5,4.3333333333,3.766723,3
GKTS7PFoF_GpycUKXDsm_g,4.5,4.6666666667,4.0497311828,12
U9hKUngQjWw9ZE6Znwergg,3.5,3.1363636364,3.7938031465,24
QO5ojtq9u2so-S_tYmeHsA,4,4.2,3.7725631769,5
hfKi84ErK10adnRAW5OiSw,3,3.2,3.769955055,15
Z_KjmNp3sMwodUBTSgFZGw,4.5,4.6875,4.0297814171,16
ReH4J1pYaV_-24wl3UvoKQ,3.5,3.5,3.766723,4
jQLW-hniKMLmDTpeGgxjGw,4,3.75,3.766723,4
Y_fAk7ze4LKwEkwC-3QwIw,1.5,1.3333333333,3.7246136865,3
HDvCnqIf5twbMb5-eG1EJw,4,3.8702702703,3.7646538391,187
JhupPnWfNlMJivnWB5druA,4,3.9391891892,3.6879237276,299
MtbyOeiuN6_Z0cAr9D8FoA,3,3,3.8942089268,4
OSL98Keoc2FSNx4a3ge5Uw,4,3.7727272727,3.7690320825,90
f8luua75t2Is5iP6nxcXQQ,5,4.9090909091,3.9648343093,11
OZVeSQKzdM0AkJ7cGDgCPA,3.5,3.6666666667,3.7246136865,3
6H_-cKOUkWdoRMS2KrWkNw,3,3.1818181818,3.8036547959,11
T5jyDe3MVb_4quR9qnoUcg,4,4.2162162162,3.766723,37
VjzclBdSXmf6uNrD0DG2bg,3,3.2,3.8036547959,5
CkflToTnXfCKa1LjnuzHwg,2.5,2.6,3.766723,6
f_re4xw6zXn2DAbcChF-AQ,4,3.8333333333,3.7358959793,6
Md6b40dplJRSaxsu0_usgg,5,5,4.0497311828,4
