businessId,AvgFromReviews,wIDF,wAvg,wRM,wBase
Ec16pSB80VFjjO-8cueB0A,4,3.745152,3.721443,3.707805,3.766723
KDfmJTIG-z6W6cl4YC-WDA,3.515152,3.594971,3.647453,3.662329,3.735896
qi2TAj80BbZPTfgPkjM49A,4,4.222513,4.219932,4.218537,3.766723
Njz9vm06pBZhTinpJ7llDg,3.333333,3.830382,3.816151,3.81052,3.766723
uJ2DfS-7EabzFDRaliACqQ,5,4.049694,3.966937,3.962993,4.050431
gFKvW1QhR7VQOYuOAfJZ3A,4.25,4.155232,4.049583,4.027824,3.766723
JxVGJ9Nly2FFIs_WpJvkug,3.777778,3.795231,3.774209,3.769955,3.769955
gZ3GVh4aER2q6_UdA6fTKw,4.5,3.982226,3.970796,3.968538,3.968538
CsA28RbQ_z_aZmRr8VL5kg,4.333333,3.686375,3.707692,3.717153,3.766723
cD505Hke2u5aZbPbcyn8lQ,5,3.795834,3.80338,3.803969,3.766723
Rq-rzr3-e4xR_-QTmzY0Vg,2.666667,3.982226,3.970796,3.968538,3.968538
CXi1eCpVyCEu-rQ7p1fTsA,1.833333,3.04234,3.109742,3.147404,3.766723
VsO_rhXi5lgbaGxNwoEZsQ,3.054945,3.651883,3.666409,3.674511,3.722898
XmDiFI8SuougNUi02ZCdwA,3.193548,3.669786,3.694641,3.700165,3.700165
pjGUK8rHXq8P4ubUoNNc5A,5,3.746554,3.778627,3.814145,3.766723
DtLIpieZkaObk-YKyPDsMw,2.75,3.598502,3.646872,3.656382,3.656382
eGoXBEU339Xg-vz0MUq86A,4.6,3.686375,3.707692,3.717153,3.766723
ojvwSyvmxsli8toz497T7w,2.333333,3.766723,3.766723,3.766723,3.766723
H-zvHYZbRVHJ3sNqvqeReQ,4.333333,3.316346,3.383698,3.40953,3.766723
GKTS7PFoF_GpycUKXDsm_g,4.666667,3.891312,3.887552,3.906389,4.049731
U9hKUngQjWw9ZE6Znwergg,3.136364,3.836262,3.805794,3.793803,3.793803
QO5ojtq9u2so-S_tYmeHsA,4.2,3.775162,3.777562,3.778604,3.772563
hfKi84ErK10adnRAW5OiSw,3.2,3.795231,3.774209,3.769955,3.769955
Z_KjmNp3sMwodUBTSgFZGw,4.6875,4.102635,4.046234,4.029781,4.029781
ReH4J1pYaV_-24wl3UvoKQ,3.5,3.774711,3.806462,3.830243,3.766723
jQLW-hniKMLmDTpeGgxjGw,3.75,4.191366,4.191366,4.191366,3.766723
Y_fAk7ze4LKwEkwC-3QwIw,1.333333,3.306953,3.373166,3.459054,3.724614
HDvCnqIf5twbMb5-eG1EJw,3.87027,3.788119,3.76799,3.764654,3.764654
JhupPnWfNlMJivnWB5druA,3.939189,3.68177,3.685534,3.687924,3.687924
MtbyOeiuN6_Z0cAr9D8FoA,3,3.877985,3.889884,3.894209,3.894209
OSL98Keoc2FSNx4a3ge5Uw,3.772727,3.773618,3.768828,3.769032,3.769032
f8luua75t2Is5iP6nxcXQQ,4.909091,3.980247,3.968207,3.964834,3.964834
OZVeSQKzdM0AkJ7cGDgCPA,3.666667,3.635415,3.636591,3.637708,3.724614
6H_-cKOUkWdoRMS2KrWkNw,3.181818,3.853483,3.81092,3.803655,3.803655
T5jyDe3MVb_4quR9qnoUcg,4.216216,3.774711,3.806462,3.830243,3.766723
VjzclBdSXmf6uNrD0DG2bg,3.2,3.656142,3.67513,3.704209,3.803655
CkflToTnXfCKa1LjnuzHwg,2.6,3.636704,3.696031,3.77502,3.766723
f_re4xw6zXn2DAbcChF-AQ,3.833333,3.735896,3.735896,3.735896,3.735896
Md6b40dplJRSaxsu0_usgg,5,4.018068,4.014549,4.015141,4.049731
CVBYF1AMlrZbScRXX8d6XQ,3.384615,3.854637,3.822853,3.816756,3.816756
449NKjoStRMoknyBqrVnCA,3.666667,3.366313,3.479636,3.608291,3.84812
jEWfxxA_kjeJE_Z_ku3zLA,2.722222,3.680585,3.693137,3.69677,3.69677
TQhP4vCMjvX527YMxPfuUA,3.208955,3.826619,3.802508,3.797634,3.797634
uPl9d1zCX7wQYP1EpqrwQQ,4.142857,3.986806,3.956107,3.947562,3.947562
_zpoklU8dTPDgoyQmyNSUQ,3.5,4.085179,4.067181,4.057162,3.766723
QAWdgDgWaFJYzJ2pGDjmdw,3.972222,3.577036,3.645659,3.660498,3.508758
eR5-nFI0Vp7EG2pIXQM3bw,2.4,3.55854,3.597611,3.624586,3.700165
EWnSPExh_T5zTv6oMJOC5g,3.551724,3.594971,3.647453,3.662329,3.735896
0zcHBms7sK9IYv4zn_qrqQ,4.666667,3.475623,3.569723,3.610864,3.735896
kfscAJnLVf6J2uEte7g-5A,4.106383,3.730313,3.729789,3.731654,3.731654
W-9YqWhkfeK-K3xGFvFeuw,2.4,3.651898,3.680307,3.686521,3.735896
LtJszEtHhXMZR0y6lbdswA,2.833333,3.635415,3.636591,3.637708,3.724614
ZG4oIFBRlXyaF5F9L3dzxg,3.361702,3.92065,3.879766,3.867513,3.867513
xtGPxmqw37SZylUPcJ1MHQ,3,3.681143,3.756055,3.805032,3.766723
xAlGk0v5jqXqEIz5LkBeYg,4.4,3.889949,3.905452,3.914371,3.914371
u8pEX4RqsRf93F7X90Pz3w,2.333333,3.959192,3.900638,3.878701,4.018717
BLHR4o5R4uTuRV0uY-COjg,4.714286,4.305271,4.193213,4.181849,4.622703
X3icXUyW9vS4UXY6V_MR4w,4.64557,3.993967,3.988874,4.013636,4.013636
kmiYqdQYJ5JmQQHgFdHCug,2.333333,3.644655,3.643333,3.643368,3.697175
daRU7H7lpbJ2xe3AO-21Aw,1.769231,3.635415,3.636591,3.637708,3.724614
T-FM14EE1tt-94eONQEaVA,2.666667,3.735896,3.735896,3.735896,3.735896
PEFUYmqfqy93_xyCnSfGNg,4.75,3.883519,3.87289,3.874044,3.766723
5x3aA0DSo8nqU13IZyH79A,3.808511,4.033314,4.007233,4.004912,4.004912
_sppJb0durssEnD1fs94mw,2.25,3.55854,3.597611,3.624586,3.700165
NLwjvGh628IcuGGPpqirNg,2.857143,3.70015,3.705583,3.712995,3.766723
9AbyBqGWHYZC73GlyAuTrQ,4.266055,3.849546,3.80424,3.798036,3.798036
kOI3EF9rjzI-_SWnysFFPw,3.666667,3.999546,3.978438,3.965229,3.766723
NcF7tZHe3p5wgQCKfHzhSw,3.75,4.156876,4.138246,4.129935,3.766723
dJvUc4ViWEJ0NJfQtYo7xg,3.306122,3.800862,3.789535,3.779179,3.872606
_w2wIsBh-1M1ZCed2KjLlw,3.172414,3.854637,3.822853,3.816756,3.816756
YXp62JdXJDzX0EuRv_zgMQ,4.527273,4.155232,4.049583,4.027824,3.766723
rncjoVoEFUJGCUoC1JgnUA,5,4.388578,4.269824,4.033787,4.862121
#NAME?,3.285714,3.830653,3.799761,3.78548,3.813395
7Vqrh77SOYwZ3_AOK-TTiQ,4.25,3.684279,3.69262,3.695621,3.716153
c0eHRit6jUbuFwIZUZsuBQ,5,4.081782,4.042192,4.035423,4.035423
qC5Uv1j4id7MPM-8YrjW6Q,4.055556,3.936782,3.963207,4.00107,4.049731
Ihd5lEko1ctb71UsOWZuuQ,1.4,3.795231,3.774209,3.769955,3.769955
FRT-kdKefurxLzcsW2JNhw,3.666667,4.140305,4.146419,4.148334,3.766723
i3ycWEmmDivp5TEnx20wVA,5,3.711336,3.746662,3.782383,3.970529
4yrf5wPxntzJt5Iz-96OEA,4.666667,3.884452,3.874624,3.882483,4.049313
7XulXhz9PN2ctxtv0B0b7Q,4,3.774711,3.806462,3.830243,3.766723
MLkcik_rEYW_CtyrL3yhUg,3.466667,4.033295,4.009055,3.997258,3.997258
e9JhcYEgNbRL8i8CTdQO2w,4.307692,3.577036,3.645659,3.660498,3.508758
YJHzVmS326nb6kbfLmZnGg,2.25,4.00018,3.996959,3.994679,3.766723
i0sMoNwiNAo1--AsZJ3Nlw,4.076923,3.854637,3.822853,3.816756,3.816756
Y34FJbdf6DuRAJ0k12yPnQ,3.75,4.085179,4.067181,4.057162,3.766723
XzIskorQEAOkCFvVPxJtLQ,2.8,3.711336,3.746662,3.782383,3.970529
DUF5XeGsqpIT9whspDOJYg,3.333333,4.07112,3.98128,3.935065,3.766723
Gw8DsQQCO5m1hggXqwynFg,3.142857,3.826619,3.802508,3.797634,3.797634
BFNxp4o6gJEO5PjD13PFKw,3.6875,3.795501,3.805966,3.811046,3.811046
U05b7D600JDVo4DJj_WGhQ,1.5,3.910713,3.916327,3.918047,3.918047
Rx9WPIaYCBquFBC563RjYg,2.4,3.735896,3.735896,3.735896,3.735896
hRkd5-YXmdxH1Twn-FfWPQ,2,3.04234,3.109742,3.147404,3.766723
pvELwHgzAqj9aewOVDiHCA,4.384615,3.930226,3.903428,3.891556,3.962142
8TGUK7LD3M-vLWml-jLb0w,3.305556,3.594971,3.647453,3.662329,3.735896
BL-hmCkQp72zpdpa0Qpk3Q,3,3.890543,3.782999,3.705794,3.862647
Abiw2tEM1GAWuMeJxGdFlw,5,3.853595,3.843058,3.837915,3.766723
GQck1WKEOYjgQReVLeCTHQ,4,3.795231,3.774209,3.769955,3.769955
_tULIKll0EQsIAnPnxaoLg,2.4,3.795231,3.774209,3.769955,3.769955
f6758KqcaSUKSjbjXKlniA,5,3.677291,3.677291,3.677291,3.766723
lUoiT_fR73R8eMiiIcqMLA,4.153846,3.635415,3.636591,3.637708,3.724614
863nEWkPZ7uD-ZRTmmJokw,3.66,3.883433,3.828019,3.818623,3.818623
U5F3-Z44SZiqHjka3-kYnw,4.333333,4.454113,4.349826,4.382643,4.721893
a4o4Y8GXH7wRKXOkPP_6TA,2.8,3.598502,3.646872,3.656382,3.656382
KRqtYdnDpwqYfWkFhZYjow,2.95,3.594971,3.647453,3.662329,3.735896
m9jxyEihvVzCzw6k1hrOow,5,3.737596,3.727418,3.720873,3.766723
xqhvLIxkCuV5jAmNkpsyBg,3.142857,3.635415,3.636591,3.637708,3.724614
3dOUEmJjFfb8iW0H-kbEzQ,3.95,3.588808,3.632775,3.648467,3.766723
HC5ibF-Q5RRtUfPneZFQ6Q,4.619048,3.774711,3.806462,3.830243,3.766723
mhLN_oiJd7zq6eaOS1Nw1A,4.247312,3.773933,3.759635,3.754846,3.754846
beZVUfO1d2fS0wG8Alrvhg,4,3.947185,3.897501,3.885063,3.885063
Cl0-KnG4yAb3IqcGM1-a5A,1,3.774711,3.806462,3.830243,3.766723
ybrXM8JeI2x0brAFoEawuQ,3.666667,3.892062,3.892062,3.892062,3.766723
s5wWB8QF2JAx0DxV8WrS9g,2.666667,3.454175,3.566812,3.644193,3.766723
GJ7gPJGl0r-1jPhp2Qz8BA,4,3.766723,3.766723,3.766723,3.766723
yFaf4-3_zEac5AUC84Vlcg,2.666667,3.766723,3.766723,3.766723,3.766723
bVRoCoXu2jIyqbZRT_isWw,1.4,3.04234,3.109742,3.147404,3.766723
9ggd0DySEZNw990JGaFSQQ,3.485714,3.577036,3.645659,3.660498,3.508758
IVv4Lr5_OXuezqe9vct8_g,3.25,3.588808,3.632775,3.648467,3.766723
JwjDSrMrKmHUXYqoIvTgUA,4.222222,3.713516,3.711309,3.710645,3.710645
TcB2FSAwS5jeumxy99EvHQ,3.2,3.237805,3.339956,3.421735,3.766723
tEIq3EziYzJSGTlYGuZvZw,1.666667,3.714494,3.740076,3.758422,3.766723
7Wm-Y8btLXBqMQsQYSferQ,4.4,4.003545,3.994788,3.985454,3.970529
xfu2Ja977b0UA1jZZN72UA,4.75,3.82652,3.824449,3.823594,3.766723
Aicnm12Zped8nQFXyRRFvw,3.810811,3.911917,3.869953,3.857641,3.857641
I6lkxbQq0sSskDlt0jCs9g,5,3.854814,3.825505,3.833909,3.766723
MNqJDeSfWEXERAFUXSyI3w,3,3.802423,3.828426,3.852358,3.970529
t_0576Esa58pcLHCEpj31A,3.075949,3.598502,3.646872,3.656382,3.656382
#NAME?,3.5,3.830653,3.799761,3.78548,3.813395
hbwD1g0FPD8MtheabQpvJA,4.8,3.726328,3.713624,3.705268,3.766723
k_yGJN2ynaUkzLTEzBWyLA,5,3.737596,3.727418,3.720873,3.766723
XRBTHOXaJK_AJ2wy5mX_1A,4.653846,4.248176,4.160278,4.121394,4.121394
0GHzsPl-NjCdGjr678_Kvg,4.333333,4.00018,3.996959,3.994679,3.766723
IQaND6HcN6NdtQ8QysO3Fg,3.702703,3.651898,3.680307,3.686521,3.735896
ijh7pg9oyW7vcCGh_4mz6w,2,3.774711,3.806462,3.830243,3.766723
2rMf09C5uXzF2qIlD5F5BA,3.405063,3.651898,3.680307,3.686521,3.735896
1qrrdRh4cgMW-dm5kVNmdA,3.677419,3.486486,3.593527,3.673246,3.766723
UHh2br86pxndWXELC6B8Cw,4.022222,3.85787,3.804085,3.780626,3.780626
vEdPyIvIg_eX_pM8WXgtew,3.333333,3.888104,3.893637,3.896327,3.896327
53Lq8bak88EtuZyKMmDPmQ,4.2,3.735896,3.735896,3.735896,3.735896
JNt63pOmXJ4Y9u8KMQNvjw,3.956522,3.62798,3.648954,3.655509,3.656382
xY1sPHTA2RGVFlh5tZhs9g,3.676471,3.755853,3.748363,3.748453,3.748453
tqp42quHT1S_tgXQRXBx5w,4,3.980247,3.968207,3.964834,3.964834
R7YlKfLpoFDAJQB9hBcQJA,3.692308,3.594971,3.647453,3.662329,3.735896
9k5OdmvTCLvYH_u8RQ3Duw,4.125,4.049246,4.010032,3.995386,3.995386
oU14CNDV_7_DNCUNiCzqEQ,4,4.034618,4.007327,4.028209,4.281124
GAa0muUX-16wP7Jw5L_W_w,4.6,4.115986,4.079404,4.076451,4.1322
4aohRCqBFuccZyzdKCppjg,2.25,3.665583,3.662215,3.660517,3.766723
f9xITzdfPbqQUoBxmSNymQ,3.583333,3.853483,3.81092,3.803655,3.803655
4ajdHuLC3fyU8rk_br0Abg,3,3.598502,3.646872,3.656382,3.656382
b7GM0x9zZU5gq1aXErUf7Q,4.647059,4.104745,4.058882,4.032704,4.032704
0ONypOKIhttBz9IJzBE8jg,3.784615,3.849546,3.80424,3.798036,3.798036
cSY4B9WBslxhpkJqaQLwJA,4.333333,3.877985,3.889884,3.894209,3.894209
PqJwKYHU_eHjw0q0NlULJw,4.2,3.635415,3.636591,3.637708,3.724614
RJHFNAxMmekmMqSqIXkV9w,5,4.191366,4.191366,4.191366,3.766723
TuSfiek_fBAbNMGkWVXcGQ,5,4.156464,4.160077,4.163887,3.766723
85fKIrxqQBUtq4OMvrXTNQ,3.75,3.982226,3.970796,3.968538,3.968538
52QtjHlHoa7V611bOvv1aw,3.686131,3.648569,3.668486,3.676888,3.69089
nXSOnl-Nj8Q9mTJlGMsHJA,4.666667,4.184374,4.140506,4.124061,4.292842
XCijrfbRwQv_y45N0LbFwQ,4.75,4.156876,4.138246,4.129935,3.766723
_YyzQyz2gwXKRfL6aorfIg,3.666667,3.665583,3.662215,3.660517,3.766723
#NAME?,4,3.830653,3.799761,3.78548,3.813395
x5zpnLM73TCnsRcII7uzAQ,4.466667,4.027529,3.96848,3.965381,4.007118
GqtMJxq5-7Xp1ZXXmahLaA,3.710526,3.853483,3.81092,3.803655,3.803655
QCp0LA1iBkcE6JcHDajH8Q,5,3.734386,3.72059,3.707829,3.766723
6lcay-E_ssmzpGanKbColg,3.129032,3.875755,3.819223,3.8086,3.8086
aZFxdrDmfO10e3k2LNNFPw,3.4,3.598502,3.646872,3.656382,3.656382
Ibhs0kIOPdFiTFEKQKsncg,5,4.125894,4.092912,4.082202,4.197655
1WUxcJDtvGgGUqsFMqJ5vg,3.714286,3.635415,3.636591,3.637708,3.724614
ZdmGDAT2VwXZZKQ-xHVORQ,4.428571,3.898665,3.876271,3.86274,3.766723
Hz_kiIW1TC_fScGN5h0wMw,3.666667,3.04234,3.109742,3.147404,3.766723
dH3E5EBlXU5s2Ev86iv3Cg,2.666667,3.703839,3.695271,3.688187,3.766723
RcfkeXHjYWCpq6NyVVmGJg,3.666667,3.737596,3.727418,3.720873,3.766723
PjUjTo-1YnOUi5JerQZRmA,3.75,4.081782,4.042192,4.035423,4.035423
7QrQVczp02Id2x_ItmidHA,5,4.222513,4.219932,4.218537,3.766723
mkXlYHuNudcuey-SSh5Ulg,3.125,3.651898,3.680307,3.686521,3.735896
Ln41atp8B5IKHihCh93S2g,3.666667,3.766723,3.766723,3.766723,3.766723
NcJ4Ug6EX4t_WBh3E0mXhA,4.625,3.710841,3.735229,3.750287,3.766723
XdE5tAqE9XYpXbSQoHhCkg,3,3.877985,3.889884,3.894209,3.894209
mQfT3JYu18HN22DVylcE7A,4.432836,3.862855,3.850916,3.846699,3.846699
oYLfNKc6Q_XKG9ixiMiumQ,4.466667,4.006545,3.984081,3.977337,3.977337
HsKjad5I8A1607NYm28hZQ,3.333333,3.853595,3.843058,3.837915,3.766723
otwAKN1PsRQQA3JKJhi1rg,3.666667,3.588808,3.632775,3.648467,3.766723
fEWLfGX9vvc8-GAC8jQslw,3.666667,3.883433,3.828019,3.818623,3.818623
cQNUozVuJglYjbBx7N8v_Q,4.428571,3.78407,3.765169,3.759928,3.759928
2jg5fV6orXdfBW6420mA3w,3.5,3.92366,3.840333,3.765779,3.766723
GTAXUJzlJtkXk027kdts5w,5,3.731984,3.724751,3.724937,3.724937
3ez4Qs56C_cC-l8x08l6Zw,3.597403,3.886741,3.82296,3.803235,3.803235
4hNjK7TpXjb86rfLDvL1lA,4,3.854596,3.867205,3.882231,3.923081
bfAw_HcpGGXqJ-Pt8KBvaw,3.666667,4.286563,4.209218,4.186653,4.440678
ZQtsLdI0j5oE-VvHNTL8fA,3.666667,3.980247,3.968207,3.964834,3.964834
VH9X2UmfxnI8byz5Xr1ebA,3.25,3.735896,3.735896,3.735896,3.735896
rCh0P0uRkcjcChXqVeIUaw,3.681818,4.049246,4.010032,3.995386,3.995386
gfhO1Q1c7QCigu7waVpeSg,3.876923,3.795501,3.805966,3.811046,3.811046
#NAME?,4,3.830653,3.799761,3.78548,3.813395
